274;1986;239.83;44100;Jaki Graham;Step Right Up
275;1986;228.13;44100;Swing Out Sister;Breakout
276;1986;252.57;44100;Kim Wilde;You Keep Me Hangin On
277;1986;243.49;44100;It Bites;Calling All The Heroes
278;1986;205.44;44100;Doctor  The Medics With Roy Wood;Waterloo
279;1986;252.83;44100;Debbie Harry;French Kissin In The USA
280;1986;265.40;44100;Huey Lewis  The News;Stuck With You
281;1986;341.04;44100;Peter Gabriel  Kate Bush;Dont Give Up
282;1986;224.36;44100;Madness;Waiting For The Ghost Train
283;1986;214.40;44100;Orchestral Manoeuvres In The Dark;Forever Live And Die
284;1986;279.67;44100;Genesis;In Too Deep
285;1987;267.00;44100;Freddie Mercury  Montserrat Caball;Barcelona
286;1987;216.40;44100;Pet Shop Boys;Rent
287;1987;267.09;44100;Communards;Never Can Say Goodbye
288;1987;248.71;44100;MARRS;Pump Up The Volume
289;1987;214.60;44100;Hue And Cry;Labour Of Love
290;1987;277.33;44100;Jellybean Featuring Steven Dante;The Real Thing
291;1987;206.69;44100;Johnny Hates Jazz;I Dont Want To Be A Hero
292;1987;205.44;44100;The Style Council;Wanted
293;1987;244.87;44100;TPau;China In Your Hand
294;1987;219.33;44100;Heart;Alone
295;1987;226.20;44100;Kiss;Crazy Crazy Nights
296;1987;247.53;44100;Billy Idol;Mony Mony
297;1987;234.93;44100;Whitesnake;Here I Go Again USA Remix
298;1987;242.56;44100;The Alarm;Rain In The Summertime
299;1987;344.24;44100;Marillion;Sugar Mice
300;1987;222.96;44100;Wet Wet Wet;Sweet Little Mystery
301;1987;243.67;44100;Curiosity Killed The Cat;Misfit
302;1987;168.60;44100;Los Lobos;La Bamba
303;1987;241.20;44100;Fat Boys And Beach Boys;Wipeout
304;1987;208.20;44100;Bananarama;Love In The First Degree
305;1987;237.00;44100;Cliff Richard;My Pretty One
306;1987;210.93;44100;Karel Fialka;Hey Matthew
307;1987;214.60;44100;Jan Hammer;Crocketts Theme
308;1987;217.80;44100;Nina Simone;My Baby Just Cares For Me
309;1987;246.80;44100;Erasure;The Circus
310;1987;285.51;44100;The Housemartins;Build
311;1987;276.80;44100;Level 42;Its Over
312;1987;264.56;44100;ABC;When Smokey Sings
313;1987;196.13;44100;Squeeze;Hourglass
314;1987;270.27;44100;The Pogues With Kirsty MacColl;A Fairy Tale Of New York
315;1987;161.56;44100;Jackie Wilson;Reet Petite
316;1987;228.75;44100;Mental As Anything;Live It Up
317;1987;260.21;44100;Simply Red;The Right Thing
318;1987;219.35;44100;Erasure;Sometimes
319;1987;206.68;44100;Robbie Nevil;Cest La Vie
320;1987;222.44;44100;Hot Chocolate;You Sexy Thing
321;1987;243.92;44100;The Blow Monkeys;It Doesnt Have To Be This Way
322;1987;219.96;44100;The Housemartins;Caravan Of Love
323;1987;237.08;44100;Boy George;Everything I Own
324;1987;185.71;44100;UB40;Rat In Mi Kitchen
325;1987;245.73;44100;Gap Band;Big Fun
326;1987;235.96;44100;5 Star;Stay Out Of My Life
327;1987;216.37;44100;Pepsi  Shirlie;Heartache
328;1987;248.33;44100;Bananarama;A Trick Of The Night
329;1987;248.45;44100;Berlin;Take My Breath Away
